Strategy	n	k	time (ms)				
1	10000000	32	882.277				
1	10000000	32	714.117				
1	10000000	32	723.274			Strat 1	
1	10000000	32	735.344			Avg	716.2560333
1	10000000	32	702.8			STD	34.11060079
1	10000000	32	697.244			CI	12.20609743
1	10000000	32	706.979				
1	10000000	32	712.64				
1	10000000	32	704.238			Strat 2	
1	10000000	32	702.347			Avg	75.96896667
1	10000000	32	754.003			STD	18.09744099
1	10000000	32	712.158			CI	6.475967088
1	10000000	32	718.345				
1	10000000	32	700.139				
1	10000000	32	694.076			Strat 3	
1	10000000	32	695.762			Avg	154.301
1	10000000	32	704.818			STD	10.7804827
1	10000000	32	709.252			CI	3.857675303
1	10000000	32	709.055				
1	10000000	32	692.573				
1	10000000	32	715.056			Strat 4	
1	10000000	32	702.539			Avg	17.36930667
1	10000000	32	709.262			STD	0.669115465
1	10000000	32	708.292			CI	0.239435494
1	10000000	32	727.876				
1	10000000	32	705.648				
1	10000000	32	734.791				
1	10000000	32	705.221				
1	10000000	32	699.024				
1	10000000	32	708.531				
2	10000000	32	86.7433				
2	10000000	32	92.3104				
2	10000000	32	93.8764				
2	10000000	32	91.8529				
2	10000000	32	69.0585				
2	10000000	32	104.417				
2	10000000	32	75.6474				
2	10000000	32	74.5401				
2	10000000	32	93.8809				
2	10000000	32	91.3901				
2	10000000	32	59.8671				
2	10000000	32	81.5955				
2	10000000	32	87.94				
2	10000000	32	46.7788				
2	10000000	32	100.379				
2	10000000	32	54.3518				
2	10000000	32	80.7357				
2	10000000	32	96.5428				
2	10000000	32	47.5474				
2	10000000	32	82.3647				
2	10000000	32	69.9042				
2	10000000	32	47.2437				
2	10000000	32	95.7964				
2	10000000	32	58.8101				
2	10000000	32	50.2149				
2	10000000	32	79.0566				
2	10000000	32	54.5757				
2	10000000	32	49.1992				
2	10000000	32	77.4755				
2	10000000	32	84.9729				
3	10000000	32	208.756				
3	10000000	32	152.857				
3	10000000	32	149.809				
3	10000000	32	150.578				
3	10000000	32	150.124				
3	10000000	32	162.917				
3	10000000	32	155.916				
3	10000000	32	149.74				
3	10000000	32	152.361				
3	10000000	32	151.37				
3	10000000	32	150.264				
3	10000000	32	155.933				
3	10000000	32	153.426				
3	10000000	32	153.222				
3	10000000	32	149.565				
3	10000000	32	151.226				
3	10000000	32	151.998				
3	10000000	32	153.335				
3	10000000	32	152.098				
3	10000000	32	162.38				
3	10000000	32	150.55				
3	10000000	32	150.357				
3	10000000	32	149.629				
3	10000000	32	152.116				
3	10000000	32	150.939				
3	10000000	32	150.798				
3	10000000	32	152.657				
3	10000000	32	152.529				
3	10000000	32	151.788				
3	10000000	32	149.792				
4	10000000	32	18.3093				
4	10000000	32	17.8368				
4	10000000	32	17.1637				
4	10000000	32	17.4486				
4	10000000	32	17.7892				
4	10000000	32	17.2539				
4	10000000	32	17.407				
4	10000000	32	17.2198				
4	10000000	32	16.9066				
4	10000000	32	16.588				
4	10000000	32	17.0849				
4	10000000	32	18.1561				
4	10000000	32	17.5662				
4	10000000	32	19.8634				
4	10000000	32	16.8397				
4	10000000	32	17.1236				
4	10000000	32	16.7847				
4	10000000	32	16.8082				
4	10000000	32	16.8953				
4	10000000	32	17.3716				
4	10000000	32	17.2349				
4	10000000	32	16.9118				
4	10000000	32	17.0664				
4	10000000	32	17.7866				
4	10000000	32	17.0561				
4	10000000	32	17.0115				
4	10000000	32	18.337				
4	10000000	32	17.7528				
4	10000000	32	16.5937				
4	10000000	32	16.9118				
